"int_pair","typeA","typeB","clustA","clustB","value"
"COL4A1 & a1b1 complex","L","R","Endo","malignant_cell",0.796
"COL4A1 & a1b1 complex","L","R","Endo","T_cell",0.835
"COL4A1 & a2b1 complex","L","R","CAF","B_cell",0.368
"COL4A1 & a2b1 complex","L","R","CAF","CAF",0.376
"COL4A1 & a2b1 complex","L","R","CAF","Endo",0.49
"COL4A1 & a2b1 complex","L","R","CAF","Macro",0.322
"COL4A1 & a2b1 complex","L","R","CAF","malignant_cell",0.389
"COL4A1 & a2b1 complex","L","R","CAF","NK",0.359
"COL4A1 & a2b1 complex","L","R","CAF","T_cell",0.39
"COL4A1 & a2b1 complex","L","R","Endo","B_cell",0.838
"COL4A1 & a2b1 complex","L","R","Endo","CAF",0.845
"COL4A1 & a2b1 complex","L","R","Endo","Endo",0.96
"COL4A1 & a2b1 complex","L","R","Endo","Macro",0.792
"COL4A1 & a2b1 complex","L","R","Endo","malignant_cell",0.859
"COL4A1 & a2b1 complex","L","R","Endo","NK",0.829
"COL4A1 & a2b1 complex","L","R","Endo","T_cell",0.86
"COL4A2 & a10b1 complex","L","R","CAF","CAF",0.356
"COL4A2 & a10b1 complex","L","R","CAF","Endo",0.386
"COL4A2 & a10b1 complex","L","R","CAF","malignant_cell",0.484
"COL4A2 & a10b1 complex","L","R","Endo","CAF",0.811
"COL4A2 & a10b1 complex","L","R","Endo","Endo",0.84
"COL4A2 & a10b1 complex","L","R","Endo","malignant_cell",0.938
"COL4A2 & a10b1 complex","L","R","Macro","malignant_cell",0.197
"COL4A2 & a10b1 complex","L","R","malignant_cell","malignant_cell",0.218
"COL4A2 & a11b1 complex","L","R","CAF","CAF",0.614
"COL4A2 & a11b1 complex","L","R","Endo","CAF",1.068
"COL4A2 & a11b1 complex","L","R","Macro","CAF",0.327
"COL4A2 & a11b1 complex","L","R","malignant_cell","CAF",0.347
"COL4A2 & a1b1 complex","L","R","CAF","CAF",0.48
"COL4A2 & a1b1 complex","L","R","CAF","Endo",0.609
"COL4A2 & a1b1 complex","L","R","CAF","malignant_cell",0.355
"COL4A2 & a1b1 complex","L","R","CAF","T_cell",0.394
"COL4A2 & a1b1 complex","L","R","Endo","CAF",0.934
"COL4A2 & a1b1 complex","L","R","Endo","Endo",1.063
"COL4A2 & a1b1 complex","L","R","Endo","malignant_cell",0.809
"COL4A2 & a1b1 complex","L","R","Endo","T_cell",0.848
"COL4A2 & a1b1 complex","L","R","Macro","CAF",0.193
"COL4A2 & a1b1 complex","L","R","Macro","Endo",0.322
"COL4A2 & a1b1 complex","L","R","malignant_cell","CAF",0.214
"COL4A2 & a1b1 complex","L","R","malignant_cell","Endo",0.342
"COL4A2 & a1b1 complex","L","R","malignant_cell","T_cell",0.127
"COL4A2 & a2b1 complex","L","R","CAF","B_cell",0.397
"COL4A2 & a2b1 complex","L","R","CAF","CAF",0.404
"COL4A2 & a2b1 complex","L","R","CAF","Endo",0.519
"COL4A2 & a2b1 complex","L","R","CAF","Macro",0.351
"COL4A2 & a2b1 complex","L","R","CAF","malignant_cell",0.418
"COL4A2 & a2b1 complex","L","R","CAF","NK",0.388
"COL4A2 & a2b1 complex","L","R","CAF","T_cell",0.419
"COL4A2 & a2b1 complex","L","R","Endo","B_cell",0.851
"COL4A2 & a2b1 complex","L","R","Endo","CAF",0.859
"COL4A2 & a2b1 complex","L","R","Endo","Endo",0.974
"COL4A2 & a2b1 complex","L","R","Endo","Macro",0.805
"COL4A2 & a2b1 complex","L","R","Endo","malignant_cell",0.872
"COL4A2 & a2b1 complex","L","R","Endo","NK",0.842
"COL4A2 & a2b1 complex","L","R","Endo","T_cell",0.873
"COL4A2 & a2b1 complex","L","R","Macro","Endo",0.232
"COL4A2 & a2b1 complex","L","R","malignant_cell","Endo",0.253
"COL4A2 & a2b1 complex","L","R","malignant_cell","malignant_cell",0.151
"COL4A2 & a2b1 complex","L","R","malignant_cell","T_cell",0.152
"COL4A3 & a10b1 complex","L","R","B_cell","CAF",0.169
"COL4A3 & a10b1 complex","L","R","B_cell","Endo",0.198
"COL4A3 & a10b1 complex","L","R","B_cell","malignant_cell",0.297
"COL4A3 & a11b1 complex","L","R","B_cell","CAF",0.426
"COL4A3 & a1b1 complex","L","R","B_cell","CAF",0.292
"COL4A3 & a1b1 complex","L","R","B_cell","Endo",0.421
"COL4A3 & a1b1 complex","L","R","B_cell","malignant_cell",0.167
"COL4A3 & a1b1 complex","L","R","B_cell","T_cell",0.206
"COL4A3 & a2b1 complex","L","R","B_cell","B_cell",0.209
"COL4A3 & a2b1 complex","L","R","B_cell","CAF",0.217
"COL4A3 & a2b1 complex","L","R","B_cell","Endo",0.332
"COL4A3 & a2b1 complex","L","R","B_cell","Macro",0.164
"COL4A3 & a2b1 complex","L","R","B_cell","malignant_cell",0.23
"COL4A3 & a2b1 complex","L","R","B_cell","NK",0.2
"COL4A3 & a2b1 complex","L","R","B_cell","T_cell",0.231
"COL4A4 & a10b1 complex","L","R","B_cell","CAF",0.116
"COL4A4 & a10b1 complex","L","R","B_cell","Endo",0.146
"COL4A4 & a10b1 complex","L","R","B_cell","malignant_cell",0.244
"COL4A4 & a10b1 complex","L","R","CAF","CAF",0.116
"COL4A4 & a10b1 complex","L","R","CAF","Endo",0.145
"COL4A4 & a10b1 complex","L","R","CAF","malignant_cell",0.243
"COL4A4 & a11b1 complex","L","R","B_cell","CAF",0.373
"COL4A4 & a11b1 complex","L","R","CAF","CAF",0.373
"COL4A4 & a1b1 complex","L","R","B_cell","CAF",0.24
"COL4A4 & a1b1 complex","L","R","B_cell","Endo",0.369
"COL4A4 & a1b1 complex","L","R","B_cell","malignant_cell",0.115
"COL4A4 & a1b1 complex","L","R","B_cell","T_cell",0.154
"COL4A4 & a1b1 complex","L","R","CAF","CAF",0.239
"COL4A4 & a1b1 complex","L","R","CAF","Endo",0.368
"COL4A4 & a1b1 complex","L","R","CAF","malignant_cell",0.114
"COL4A4 & a1b1 complex","L","R","CAF","T_cell",0.153
"COL4A4 & a2b1 complex","L","R","B_cell","B_cell",0.157
"COL4A4 & a2b1 complex","L","R","B_cell","CAF",0.164
"COL4A4 & a2b1 complex","L","R","B_cell","Endo",0.279
"COL4A4 & a2b1 complex","L","R","B_cell","malignant_cell",0.178
"COL4A4 & a2b1 complex","L","R","B_cell","NK",0.147
"COL4A4 & a2b1 complex","L","R","B_cell","T_cell",0.178
"COL4A4 & a2b1 complex","L","R","CAF","B_cell",0.156
"COL4A4 & a2b1 complex","L","R","CAF","Endo",0.278
"COL4A4 & a2b1 complex","L","R","CAF","malignant_cell",0.177
"COL4A4 & a2b1 complex","L","R","CAF","T_cell",0.178
"COL4A5 & a10b1 complex","L","R","CAF","Endo",0.116
"COL4A5 & a10b1 complex","L","R","CAF","malignant_cell",0.214
"COL4A5 & a10b1 complex","L","R","Endo","Endo",0.116
"COL4A5 & a10b1 complex","L","R","Endo","malignant_cell",0.214
"COL4A5 & a11b1 complex","L","R","CAF","CAF",0.344
"COL4A5 & a11b1 complex","L","R","Endo","CAF",0.343
"COL4A5 & a1b1 complex","L","R","CAF","CAF",0.21
"COL4A5 & a1b1 complex","L","R","CAF","Endo",0.339
"COL4A5 & a1b1 complex","L","R","CAF","T_cell",0.124
"COL4A5 & a1b1 complex","L","R","Endo","CAF",0.21
"COL4A5 & a1b1 complex","L","R","Endo","Endo",0.339
"COL4A5 & a1b1 complex","L","R","Endo","T_cell",0.124
"COL4A5 & a2b1 complex","L","R","CAF","Endo",0.249
"COL4A5 & a2b1 complex","L","R","CAF","malignant_cell",0.148
"COL4A5 & a2b1 complex","L","R","CAF","T_cell",0.149
"COL4A5 & a2b1 complex","L","R","Endo","Endo",0.249
"COL4A5 & a2b1 complex","L","R","Endo","malignant_cell",0.148
"COL4A5 & a2b1 complex","L","R","Endo","T_cell",0.148
"COL5A1 & a10b1 complex","L","R","CAF","CAF",0.569
"COL5A1 & a10b1 complex","L","R","CAF","Endo",0.598
"COL5A1 & a10b1 complex","L","R","CAF","malignant_cell",0.697
"COL5A1 & a10b1 complex","L","R","Endo","Endo",0.111
"COL5A1 & a10b1 complex","L","R","Endo","malignant_cell",0.21
"COL5A1 & a11b1 complex","L","R","CAF","CAF",0.826
"COL5A1 & a11b1 complex","L","R","Endo","CAF",0.339
"COL5A1 & a1b1 complex","L","R","CAF","CAF",0.692
"COL5A1 & a1b1 complex","L","R","CAF","Endo",0.821
"COL5A1 & a1b1 complex","L","R","CAF","malignant_cell",0.567
"COL5A1 & a1b1 complex","L","R","CAF","T_cell",0.606
"COL5A1 & a1b1 complex","L","R","Endo","CAF",0.206
"COL5A1 & a1b1 complex","L","R","Endo","Endo",0.334
"COL5A1 & a1b1 complex","L","R","Endo","T_cell",0.119
"COL5A1 & a2b1 complex","L","R","CAF","B_cell",0.609
"COL5A1 & a2b1 complex","L","R","CAF","CAF",0.617
"COL5A1 & a2b1 complex","L","R","CAF","Endo",0.732
"COL5A1 & a2b1 complex","L","R","CAF","Macro",0.564
"COL5A1 & a2b1 complex","L","R","CAF","malignant_cell",0.63
"COL5A1 & a2b1 complex","L","R","CAF","NK",0.6
"COL5A1 & a2b1 complex","L","R","CAF","T_cell",0.631
"COL5A1 & a2b1 complex","L","R","Endo","Endo",0.245
"COL5A1 & a2b1 complex","L","R","Endo","malignant_cell",0.143
"COL5A2 & a10b1 complex","L","R","CAF","CAF",0.598
"COL5A2 & a10b1 complex","L","R","CAF","Endo",0.628
"COL5A2 & a10b1 complex","L","R","CAF","malignant_cell",0.726
"COL5A2 & a10b1 complex","L","R","Endo","CAF",0.213
"COL5A2 & a10b1 complex","L","R","Endo","Endo",0.242
"COL5A2 & a10b1 complex","L","R","Endo","malignant_cell",0.341
"COL5A2 & a10b1 complex","L","R","malignant_cell","Endo",0.156
"COL5A2 & a10b1 complex","L","R","malignant_cell","malignant_cell",0.255
"COL5A2 & a11b1 complex","L","R","CAF","CAF",0.855
"COL5A2 & a11b1 complex","L","R","Endo","CAF",0.47
"COL5A2 & a11b1 complex","L","R","malignant_cell","CAF",0.384
"COL5A2 & a1b1 complex","L","R","CAF","CAF",0.722
"COL5A2 & a1b1 complex","L","R","CAF","Endo",0.851
"COL5A2 & a1b1 complex","L","R","CAF","malignant_cell",0.597
"COL5A2 & a1b1 complex","L","R","CAF","T_cell",0.636
"COL5A2 & a1b1 complex","L","R","Endo","CAF",0.337
"COL5A2 & a1b1 complex","L","R","Endo","Endo",0.465
"COL5A2 & a1b1 complex","L","R","Endo","malignant_cell",0.211
"COL5A2 & a1b1 complex","L","R","Endo","T_cell",0.25
"COL5A2 & a1b1 complex","L","R","malignant_cell","CAF",0.25
"COL5A2 & a1b1 complex","L","R","malignant_cell","Endo",0.379
"COL5A2 & a1b1 complex","L","R","malignant_cell","malignant_cell",0.125
"COL5A2 & a1b1 complex","L","R","malignant_cell","T_cell",0.164
"COL5A2 & a2b1 complex","L","R","CAF","B_cell",0.639
"COL5A2 & a2b1 complex","L","R","CAF","CAF",0.646
"COL5A2 & a2b1 complex","L","R","CAF","Endo",0.761
"COL5A2 & a2b1 complex","L","R","CAF","Macro",0.593
"COL5A2 & a2b1 complex","L","R","CAF","malignant_cell",0.66
"COL5A2 & a2b1 complex","L","R","CAF","NK",0.629
"COL5A2 & a2b1 complex","L","R","CAF","T_cell",0.66
"COL5A2 & a2b1 complex","L","R","Endo","B_cell",0.253
"COL5A2 & a2b1 complex","L","R","Endo","CAF",0.261
"COL5A2 & a2b1 complex","L","R","Endo","Endo",0.376
"COL5A2 & a2b1 complex","L","R","Endo","Macro",0.208
"COL5A2 & a2b1 complex","L","R","Endo","malignant_cell",0.274
"COL5A2 & a2b1 complex","L","R","Endo","NK",0.244
"COL5A2 & a2b1 complex","L","R","Endo","T_cell",0.275
"COL5A2 & a2b1 complex","L","R","malignant_cell","B_cell",0.167
"COL5A2 & a2b1 complex","L","R","malignant_cell","Endo",0.29
"COL5A2 & a2b1 complex","L","R","malignant_cell","malignant_cell",0.188
"COL5A2 & a2b1 complex","L","R","malignant_cell","T_cell",0.189
"COL5A3 & a10b1 complex","L","R","CAF","CAF",0.086
"COL5A3 & a10b1 complex","L","R","CAF","Endo",0.116
"COL5A3 & a10b1 complex","L","R","CAF","malignant_cell",0.214
"COL5A3 & a11b1 complex","L","R","CAF","CAF",0.343
"COL5A3 & a1b1 complex","L","R","CAF","CAF",0.21
"COL5A3 & a1b1 complex","L","R","CAF","Endo",0.339
"COL5A3 & a1b1 complex","L","R","CAF","malignant_cell",0.085
"COL5A3 & a1b1 complex","L","R","CAF","T_cell",0.124
"COL5A3 & a2b1 complex","L","R","CAF","B_cell",0.127
"COL5A3 & a2b1 complex","L","R","CAF","Endo",0.249
"COL5A3 & a2b1 complex","L","R","CAF","malignant_cell",0.148
"COL5A3 & a2b1 complex","L","R","CAF","T_cell",0.148
"COL6A1 & a10b1 complex","L","R","CAF","CAF",0.81
"COL6A1 & a10b1 complex","L","R","CAF","Endo",0.839
"COL6A1 & a10b1 complex","L","R","CAF","malignant_cell",0.937
"COL6A1 & a10b1 complex","L","R","Endo","Endo",0.193
"COL6A1 & a10b1 complex","L","R","Endo","malignant_cell",0.291
"COL6A1 & a10b1 complex","L","R","malignant_cell","CAF",0.216
"COL6A1 & a10b1 complex","L","R","malignant_cell","Endo",0.245
"COL6A1 & a10b1 complex","L","R","malignant_cell","malignant_cell",0.343
"COL6A1 & a11b1 complex","L","R","CAF","CAF",1.067
"COL6A1 & a11b1 complex","L","R","Endo","CAF",0.421
"COL6A1 & a11b1 complex","L","R","malignant_cell","CAF",0.473
"COL6A1 & a1b1 complex","L","R","CAF","CAF",0.933
"COL6A1 & a1b1 complex","L","R","CAF","Endo",1.062
"COL6A1 & a1b1 complex","L","R","CAF","malignant_cell",0.808
"COL6A1 & a1b1 complex","L","R","CAF","T_cell",0.847
"COL6A1 & a1b1 complex","L","R","Endo","CAF",0.287
"COL6A1 & a1b1 complex","L","R","Endo","Endo",0.416
"COL6A1 & a1b1 complex","L","R","Endo","malignant_cell",0.162
"COL6A1 & a1b1 complex","L","R","Endo","T_cell",0.201
"COL6A1 & a1b1 complex","L","R","malignant_cell","CAF",0.339
"COL6A1 & a1b1 complex","L","R","malignant_cell","Endo",0.468
"COL6A1 & a1b1 complex","L","R","malignant_cell","malignant_cell",0.214
"COL6A1 & a1b1 complex","L","R","malignant_cell","T_cell",0.253
"COL6A1 & a2b1 complex","L","R","CAF","B_cell",0.85
"COL6A1 & a2b1 complex","L","R","CAF","CAF",0.857
"COL6A1 & a2b1 complex","L","R","CAF","Endo",0.972
"COL6A1 & a2b1 complex","L","R","CAF","Macro",0.804
"COL6A1 & a2b1 complex","L","R","CAF","malignant_cell",0.871
"COL6A1 & a2b1 complex","L","R","CAF","NK",0.841
"COL6A1 & a2b1 complex","L","R","CAF","T_cell",0.872
"COL6A1 & a2b1 complex","L","R","Endo","B_cell",0.204
"COL6A1 & a2b1 complex","L","R","Endo","Endo",0.326
"COL6A1 & a2b1 complex","L","R","Endo","malignant_cell",0.225
"COL6A1 & a2b1 complex","L","R","Endo","T_cell",0.226
"COL6A1 & a2b1 complex","L","R","malignant_cell","B_cell",0.256
"COL6A1 & a2b1 complex","L","R","malignant_cell","CAF",0.264
"COL6A1 & a2b1 complex","L","R","malignant_cell","Endo",0.378
"COL6A1 & a2b1 complex","L","R","malignant_cell","Macro",0.21
"COL6A1 & a2b1 complex","L","R","malignant_cell","malignant_cell",0.277
"COL6A1 & a2b1 complex","L","R","malignant_cell","NK",0.247
"COL6A1 & a2b1 complex","L","R","malignant_cell","T_cell",0.278
"COL6A2 & a10b1 complex","L","R","CAF","CAF",0.728
"COL6A2 & a10b1 complex","L","R","CAF","Endo",0.758
"COL6A2 & a10b1 complex","L","R","CAF","malignant_cell",0.856
"COL6A2 & a10b1 complex","L","R","Endo","CAF",0.41
"COL6A2 & a10b1 complex","L","R","Endo","Endo",0.439
"COL6A2 & a10b1 complex","L","R","Endo","malignant_cell",0.537
"COL6A2 & a10b1 complex","L","R","malignant_cell","Endo",0.162
"COL6A2 & a10b1 complex","L","R","malignant_cell","malignant_cell",0.26
"COL6A2 & a11b1 complex","L","R","CAF","CAF",0.985
"COL6A2 & a11b1 complex","L","R","Endo","CAF",0.667
"COL6A2 & a11b1 complex","L","R","malignant_cell","CAF",0.39
"COL6A2 & a1b1 complex","L","R","CAF","CAF",0.852
"COL6A2 & a1b1 complex","L","R","CAF","Endo",0.981
"COL6A2 & a1b1 complex","L","R","CAF","malignant_cell",0.727
"COL6A2 & a1b1 complex","L","R","CAF","T_cell",0.766
"COL6A2 & a1b1 complex","L","R","Endo","CAF",0.533
"COL6A2 & a1b1 complex","L","R","Endo","Endo",0.662
"COL6A2 & a1b1 complex","L","R","Endo","malignant_cell",0.408
"COL6A2 & a1b1 complex","L","R","Endo","T_cell",0.447
"COL6A2 & a1b1 complex","L","R","malignant_cell","CAF",0.256
"COL6A2 & a1b1 complex","L","R","malignant_cell","Endo",0.385
"COL6A2 & a1b1 complex","L","R","malignant_cell","malignant_cell",0.131
"COL6A2 & a1b1 complex","L","R","malignant_cell","T_cell",0.17
"COL6A2 & a2b1 complex","L","R","CAF","B_cell",0.769
"COL6A2 & a2b1 complex","L","R","CAF","CAF",0.776
"COL6A2 & a2b1 complex","L","R","CAF","Endo",0.891
"COL6A2 & a2b1 complex","L","R","CAF","Macro",0.723
"COL6A2 & a2b1 complex","L","R","CAF","malignant_cell",0.79
"COL6A2 & a2b1 complex","L","R","CAF","NK",0.759
"COL6A2 & a2b1 complex","L","R","CAF","T_cell",0.79
"COL6A2 & a2b1 complex","L","R","Endo","B_cell",0.45
"COL6A2 & a2b1 complex","L","R","Endo","CAF",0.457
"COL6A2 & a2b1 complex","L","R","Endo","Endo",0.572
"COL6A2 & a2b1 complex","L","R","Endo","Macro",0.404
"COL6A2 & a2b1 complex","L","R","Endo","malignant_cell",0.471
"COL6A2 & a2b1 complex","L","R","Endo","NK",0.441
"COL6A2 & a2b1 complex","L","R","Endo","T_cell",0.472
"COL6A2 & a2b1 complex","L","R","malignant_cell","B_cell",0.173
"COL6A2 & a2b1 complex","L","R","malignant_cell","Endo",0.295
"COL6A2 & a2b1 complex","L","R","malignant_cell","malignant_cell",0.194
"COL6A2 & a2b1 complex","L","R","malignant_cell","T_cell",0.195
"COL6A3 & a10b1 complex","L","R","CAF","CAF",0.798
"COL6A3 & a10b1 complex","L","R","CAF","Endo",0.828
"COL6A3 & a10b1 complex","L","R","CAF","malignant_cell",0.926
"COL6A3 & a11b1 complex","L","R","CAF","CAF",1.056
"COL6A3 & a1b1 complex","L","R","CAF","CAF",0.922
"COL6A3 & a1b1 complex","L","R","CAF","Endo",1.051
"COL6A3 & a1b1 complex","L","R","CAF","malignant_cell",0.797
"COL6A3 & a1b1 complex","L","R","CAF","T_cell",0.836
"COL6A3 & a2b1 complex","L","R","CAF","B_cell",0.839
"COL6A3 & a2b1 complex","L","R","CAF","CAF",0.846
"COL6A3 & a2b1 complex","L","R","CAF","Endo",0.961
"COL6A3 & a2b1 complex","L","R","CAF","Macro",0.793
"COL6A3 & a2b1 complex","L","R","CAF","malignant_cell",0.86
"COL6A3 & a2b1 complex","L","R","CAF","NK",0.83
"COL6A3 & a2b1 complex","L","R","CAF","T_cell",0.861
"COL7A1 & a10b1 complex","L","R","CAF","Endo",0.121
"COL7A1 & a10b1 complex","L","R","CAF","malignant_cell",0.219
"COL7A1 & a11b1 complex","L","R","CAF","CAF",0.349
"COL7A1 & a1b1 complex","L","R","CAF","CAF",0.215
"COL7A1 & a1b1 complex","L","R","CAF","Endo",0.344
"COL7A1 & a1b1 complex","L","R","CAF","malignant_cell",0.09
"COL7A1 & a1b1 complex","L","R","CAF","T_cell",0.129
"COL7A1 & a2b1 complex","L","R","CAF","B_cell",0.132
"COL7A1 & a2b1 complex","L","R","CAF","Endo",0.254
"COL7A1 & a2b1 complex","L","R","CAF","malignant_cell",0.153
"COL7A1 & a2b1 complex","L","R","CAF","T_cell",0.154
"COL8A1 & a10b1 complex","L","R","CAF","CAF",0.345
"COL8A1 & a10b1 complex","L","R","CAF","Endo",0.375
"COL8A1 & a10b1 complex","L","R","CAF","malignant_cell",0.473
"COL8A1 & a11b1 complex","L","R","CAF","CAF",0.602
"COL8A1 & a1b1 complex","L","R","CAF","CAF",0.469
"COL8A1 & a1b1 complex","L","R","CAF","Endo",0.598
"COL8A1 & a1b1 complex","L","R","CAF","malignant_cell",0.344
"COL8A1 & a1b1 complex","L","R","CAF","T_cell",0.383
"COL8A1 & a2b1 complex","L","R","CAF","B_cell",0.386
"COL8A1 & a2b1 complex","L","R","CAF","CAF",0.393
"COL8A1 & a2b1 complex","L","R","CAF","Endo",0.508
"COL8A1 & a2b1 complex","L","R","CAF","Macro",0.34
"COL8A1 & a2b1 complex","L","R","CAF","malignant_cell",0.407
"COL8A1 & a2b1 complex","L","R","CAF","NK",0.376
"COL8A1 & a2b1 complex","L","R","CAF","T_cell",0.407
"COL8A2 & a10b1 complex","L","R","CAF","Endo",0.105
"COL8A2 & a10b1 complex","L","R","CAF","malignant_cell",0.203
"COL8A2 & a11b1 complex","L","R","CAF","CAF",0.332
"COL8A2 & a1b1 complex","L","R","CAF","CAF",0.199
"COL8A2 & a1b1 complex","L","R","CAF","Endo",0.328
"COL8A2 & a1b1 complex","L","R","CAF","malignant_cell",0.074
"COL8A2 & a1b1 complex","L","R","CAF","T_cell",0.113
"COL8A2 & a2b1 complex","L","R","CAF","B_cell",0.116
"COL8A2 & a2b1 complex","L","R","CAF","Endo",0.238
"COL8A2 & a2b1 complex","L","R","CAF","malignant_cell",0.137
"COL8A2 & a2b1 complex","L","R","CAF","T_cell",0.137
"COL9A3 & a10b1 complex","L","R","malignant_cell","CAF",0.158
"COL9A3 & a10b1 complex","L","R","malignant_cell","Endo",0.187
"COL9A3 & a10b1 complex","L","R","malignant_cell","malignant_cell",0.285
"COL9A3 & a11b1 complex","L","R","malignant_cell","CAF",0.415
"COL9A3 & a1b1 complex","L","R","malignant_cell","CAF",0.281
"COL9A3 & a1b1 complex","L","R","malignant_cell","Endo",0.41
"COL9A3 & a1b1 complex","L","R","malignant_cell","malignant_cell",0.156
"COL9A3 & a1b1 complex","L","R","malignant_cell","T_cell",0.195
"COL9A3 & a2b1 complex","L","R","malignant_cell","B_cell",0.198
"COL9A3 & a2b1 complex","L","R","malignant_cell","CAF",0.206
"COL9A3 & a2b1 complex","L","R","malignant_cell","Endo",0.32
"COL9A3 & a2b1 complex","L","R","malignant_cell","malignant_cell",0.219
"COL9A3 & a2b1 complex","L","R","malignant_cell","NK",0.189
"COL9A3 & a2b1 complex","L","R","malignant_cell","T_cell",0.22
"COPA & CD74","L","R","B_cell","B_cell",1.528
"COPA & CD74","L","R","CAF","B_cell",1.832
"COPA & CD74","L","R","Endo","B_cell",1.701
"COPA & CD74","L","R","Macro","B_cell",1.731
"COPA & CD74","L","R","malignant_cell","B_cell",1.825
"COPA & CD74","L","R","NK","B_cell",1.533
"COPA & CD74","L","R","T_cell","B_cell",1.602
"COPA & CD74","L","R","CAF","Endo",1.462
"COPA & CD74","L","R","Endo","Endo",1.33
"COPA & CD74","L","R","Macro","Endo",1.361
"COPA & CD74","L","R","malignant_cell","Endo",1.455
"COPA & CD74","L","R","B_cell","Macro",1.451
"COPA & CD74","L","R","CAF","Macro",1.755
"COPA & CD74","L","R","Endo","Macro",1.623
"COPA & CD74","L","R","Macro","Macro",1.654
"COPA & CD74","L","R","malignant_cell","Macro",1.748
"COPA & CD74","L","R","NK","Macro",1.456
"COPA & CD74","L","R","T_cell","Macro",1.524
"COPA & CD74","L","R","CAF","NK",1.356
"COPA & CD74","L","R","malignant_cell","NK",1.348
"COPA & CD74","L","R","CAF","T_cell",1.478
"COPA & CD74","L","R","Endo","T_cell",1.346
"COPA & CD74","L","R","Macro","T_cell",1.377
"COPA & CD74","L","R","malignant_cell","T_cell",1.47
"COPA & CD74","L","R","T_cell","T_cell",1.247
"COPA & EGFR","L","R","B_cell","CAF",0.505
"COPA & EGFR","L","R","CAF","CAF",0.808
"COPA & EGFR","L","R","Endo","CAF",0.677
"COPA & EGFR","L","R","Macro","CAF",0.707
"COPA & EGFR","L","R","malignant_cell","CAF",0.801
"COPA & EGFR","L","R","NK","CAF",0.509
"COPA & EGFR","L","R","T_cell","CAF",0.578
"COPA & P2RY6","L","R","B_cell","Macro",0.473
"COPA & P2RY6","L","R","CAF","Endo",0.673
"COPA & P2RY6","L","R","CAF","Macro",0.777
"COPA & P2RY6","L","R","CAF","NK",0.586
"COPA & P2RY6","L","R","Endo","Endo",0.541
"COPA & P2RY6","L","R","Endo","Macro",0.645
"COPA & P2RY6","L","R","Endo","NK",0.454
"COPA & P2RY6","L","R","Macro","Endo",0.571
"COPA & P2RY6","L","R","Macro","Macro",0.676
"COPA & P2RY6","L","R","Macro","NK",0.484
"COPA & P2RY6","L","R","malignant_cell","Endo",0.665
"COPA & P2RY6","L","R","malignant_cell","Macro",0.77
"COPA & P2RY6","L","R","malignant_cell","NK",0.578
"COPA & P2RY6","L","R","NK","Macro",0.478
"COPA & P2RY6","L","R","T_cell","Endo",0.442
"COPA & P2RY6","L","R","T_cell","Macro",0.546
"COPA & SORT1","L","R","B_cell","malignant_cell",0.676
"COPA & SORT1","L","R","CAF","CAF",0.64
"COPA & SORT1","L","R","CAF","Endo",0.631
"COPA & SORT1","L","R","CAF","Macro",0.702
"COPA & SORT1","L","R","CAF","malignant_cell",0.98
"COPA & SORT1","L","R","Endo","malignant_cell",0.848
"COPA & SORT1","L","R","Macro","malignant_cell",0.879
"COPA & SORT1","L","R","malignant_cell","CAF",0.632
"COPA & SORT1","L","R","malignant_cell","Endo",0.623
"COPA & SORT1","L","R","malignant_cell","Macro",0.695
"COPA & SORT1","L","R","malignant_cell","malignant_cell",0.973
"COPA & SORT1","L","R","NK","malignant_cell",0.681
"COPA & SORT1","L","R","T_cell","malignant_cell",0.749
"CRTAM & CADM1","L","R","B_cell","malignant_cell",0.386
"CRTAM & CADM1","L","R","NK","malignant_cell",0.435
"CRTAM & CADM1","L","R","T_cell","Macro",0.457
"CRTAM & CADM1","L","R","T_cell","malignant_cell",0.53
"CRTAM & CADM1","L","R","T_cell","T_cell",0.435
"CSF1 & CELSR3","L","R","CAF","malignant_cell",0.33
"CSF1 & CELSR3","L","R","Endo","malignant_cell",0.24
"CSF1 & CELSR3","L","R","T_cell","malignant_cell",0.152
"CSF1 & CSF1R","L","R","CAF","Macro",1.099
"CSF1 & CSF1R","L","R","Endo","Macro",1.009
"CSF1 & CSF1R","L","R","malignant_cell","Macro",0.844
"CSF1 & CSF1R","L","R","T_cell","Macro",0.92
"CSF1 & SIRPA","L","R","CAF","CAF",0.478
"CSF1 & SIRPA","L","R","CAF","Endo",0.621
"CSF1 & SIRPA","L","R","CAF","Macro",0.738
"CSF1 & SIRPA","L","R","CAF","malignant_cell",0.615
"CSF1 & SIRPA","L","R","Endo","CAF",0.388
"CSF1 & SIRPA","L","R","Endo","Endo",0.531
"CSF1 & SIRPA","L","R","Endo","Macro",0.648
"CSF1 & SIRPA","L","R","Endo","malignant_cell",0.525
"CSF1 & SIRPA","L","R","malignant_cell","Endo",0.366
"CSF1 & SIRPA","L","R","malignant_cell","Macro",0.483
"CSF1 & SIRPA","L","R","malignant_cell","malignant_cell",0.36
"CSF1 & SIRPA","L","R","T_cell","CAF",0.3
"CSF1 & SIRPA","L","R","T_cell","Endo",0.443
"CSF1 & SIRPA","L","R","T_cell","Macro",0.559
"CSF1 & SIRPA","L","R","T_cell","malignant_cell",0.437
"CSF1 & SLC7A1","L","R","CAF","B_cell",0.367
"CSF1 & SLC7A1","L","R","CAF","CAF",0.448
